2019-05-24 18:24:12 | INFO | 12554 | 5ce7c64c7dd47 | 1558693452.732 | task (12) Started,log(info).
2019-05-24 18:24:12 | INFO | 12554 | 5ce7c64c7dd47 | 1558693452.739 | worker (3) Started,log(info)
2019-05-24 18:24:12 | INFO | 12554 | 5ce7c64c7dd47 | 1558693452.748 | worker (6) Started,log(info)
2019-05-24 18:24:12 | INFO | 12554 | 5ce7c64c7dd47 | 1558693452.753 | worker (7) Started,log(info)
2019-05-24 18:24:34 | INFO | 12600 | 5ce7c6621427c | 1558693474.122 | Serve Queue Started, Master pid is: 12600.
2019-05-24 18:24:34 | INFO | 12600 | 5ce7c6621427c | 1558693474.232 | task (8) Started - log(info).
2019-05-24 18:24:34 | INFO | 12600 | 5ce7c6621427c | 1558693474.238 | task (9) Started - log(info).
2019-05-24 18:24:34 | INFO | 12600 | 5ce7c6621427c | 1558693474.243 | task (10) Started - log(info).
2019-05-24 18:24:34 | INFO | 12600 | 5ce7c6621427c | 1558693474.249 | task (11) Started - log(info).
2019-05-24 18:24:34 | INFO | 12600 | 5ce7c6621427c | 1558693474.255 | task (12) Started - log(info).
2019-05-24 18:24:34 | INFO | 12600 | 5ce7c6621427c | 1558693474.260 | task (13) Started - log(info).
2019-05-24 18:24:34 | INFO | 12600 | 5ce7c6621427c | 1558693474.266 | task (14) Started - log(info).
2019-05-24 18:24:34 | INFO | 12600 | 5ce7c6621427c | 1558693474.272 | task (15) Started - log(info).
2019-05-24 18:24:34 | INFO | 12600 | 5ce7c6621427c | 1558693474.278 | worker (0) Started - log(info)
2019-05-24 18:24:34 | INFO | 12600 | 5ce7c6621427c | 1558693474.282 | worker (1) Started - log(info)
2019-05-24 18:24:34 | INFO | 12600 | 5ce7c6621427c | 1558693474.286 | worker (2) Started - log(info)
2019-05-24 18:24:34 | INFO | 12600 | 5ce7c6621427c | 1558693474.290 | worker (3) Started - log(info)
2019-05-24 18:24:34 | INFO | 12600 | 5ce7c6621427c | 1558693474.294 | worker (4) Started - log(info)
2019-05-24 18:24:34 | INFO | 12600 | 5ce7c6621427c | 1558693474.299 | worker (5) Started - log(info)
2019-05-24 18:24:34 | INFO | 12600 | 5ce7c6621427c | 1558693474.303 | worker (6) Started - log(info)
2019-05-24 18:24:34 | INFO | 12600 | 5ce7c6621427c | 1558693474.308 | worker (7) Started - log(info)
2019-05-24 18:25:17 | INFO | 12695 | 5ce7c68d112a9 | 1558693517.102 | Serve Queue Started, Master pid is: 12695.
